#
#      RegulonDB is free for academic/noncommercial use 
# 
#      User is not entitled to change or erase data sets of the RegulonDB 
#      database or to eliminate copyright notices from RegulonDB. Furthermore, 
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly 
#      or as a whole into other databank systems, without prior written consent 
#      from CCG-UNAM. 
# 
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp 
# 
# Citation 
# 
#      Gama-Castro S. et al. (2016). "RegulonDB version 9.0: high-level integration of gene regulation, coexpression, motif clustering and beyond". 
#      Nucleic Acids Res. 2016 Jan 4;44(D1):D133-43. doi: 10.1093/nar/gkv1156. Epub 2015 Nov 2. 
# 
# 
# Contact 
# 
#      Person: RegulonDB Team 
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp 
#          (regulondb@ccg.unam.mx) 
# 
#

# Release: 9.1 Date: 04-07-2016
# ___________________________________________________________________________
#
# Columns:
#  (1) Transcription Factor (TF) name
#  (2) TUName (regulated)
#  (3) Regulatory effect of the TF on the regulated gene (+ activator, - repressor, +- dual, ? unknown)
#  (4) Evidence that supports the existence of the regulatory interaction
#
AccB	accBC[accBp]	-	[null]	Weak	
FNR	dcuC[dcuCp]	+	[GEA, HIBSCS]	Weak	
FNR	dcuSR[dcuSp]	+	[AIBSCS, GEA]	Weak	
FNR	dmsABC[dmsAp1]	+	[BCE, BPP, GEA, SM]	Weak	
FNR	dpiBA[dpiBp]	-	[AIBSCS]	Weak	
FNR	dppABCDF[dppAp]	-	[AIBSCS, GEA]	Weak	
FNR	emrKY[emrKp]	+	[AIBSCS, GEA]	Weak	
FNR	fdhF[fdhFp]	+	[GEA]	Weak	
FNR	fdnGHI[fdnGp]	+	[GEA, HIBSCS, SM]	Weak	
FNR	feoABC[feoAp]	+	[GEA, HIBSCS]	Weak	
FNR	fes-ybdZ-entF-fepE[fesp]	+	[AIBSCS, GEA]	Weak	
FNR	fixABCX[fixAp]	+	[AIBSCS, GEA]	Weak	
FNR	fnr[fnrp]	-	[BCE, BPP, GEA, HIBSCS]	Weak	
FNR	fnrS[fnrSp]	+	[BPP, GEA, HIBSCS]	Strong	
FNR	focA-pflB[focAp1]	+	[BCE, GEA, HIBSCS, SM]	Weak	
FNR	focA-pflB[focAp3]	+	[BCE, GEA, SM]	Weak	
FNR	frdABCD[frdAp]	+	[BCE, GEA]	Weak	
FNR	fumA[fumAp]	-	[GEA]	Weak	
FNR	fumAC[fumAp]	-	[GEA]	Weak	
FNR	fumB[fumBp]	+	[BCE, GEA]	Weak	
FNR	fumC[fumCp]	-	[GEA]	Weak	
FNR	gadAX[gadAp]	-	[AIBSCS, GEA]	Weak	
FNR	gadX[gadXp]	-	[AIBSCS, GEA]	Weak	
FNR	gadXW[gadXp]	-	[AIBSCS, GEA]	Weak	
FNR	garPLRK-rnpB[garPp]	+	[AIBSCS, GEA]	Weak	
FNR	gcvTHP[gcvTp]	+	[AIBSCS, GEA]	Weak	
FNR	gdhA[gdhAp1]	+	[GEA]	Weak	
FNR	glnD[glnDp]	+-	[GEA]	Weak	
FNR	glnK-amtB[glnKp]	+-	[GEA]	Weak	
FNR	glpABC[glpABCp]	+	[AIBSCS, GEA, HIBSCS]	Weak	
FNR	glpTQ[glpTQp]	+	[AIBSCS, GEA, HIBSCS]	Weak	
FNR	gltBDF[gltBp]	-	[AIBSCS, GEA]	Weak	
FNR	gnd[gndp]	-	[GEA]	Weak	
FNR	grcA[grcAp1]	+-	[BPP, GEA, SM]	Strong	
FNR	hcp-hcr[hcpp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
FNR	hemA-prfA-prmC[hemAp1]	-	[BPP, GEA]	Strong	
FNR	hlyE[hlyEp]	+	[BPP, GEA]	Strong	
FNR	hmp[hmpAp]	-	[BPP, GEA, HIBSCS, SM]	Strong	
FNR	hyfABCDEFGHIJR-focB[hyfAp]	-	[GEA, HIBSCS]	Weak	
FNR	hypBCDE[hypBp]	+	[BCE, BPP, GEA]	Weak	
FNR	hypBCDE-fhlA[hypBp]	+	[BCE, BPP, GEA]	Weak	
FNR	iraD[iraDp2]	+	[AIBSCS, GEA]	Weak	
FNR	iraM[iraMp]	+	[AIBSCS]	Weak	
FNR	katG[katGp]	+	[AIBSCS, GEA]	Weak	
FNR	lpd[lpdAp]	+-	[AIBSCS, GEA]	Weak	
FNR	malPQ[malPp]	+	[AIBSCS, GEA]	Weak	
FNR	moaABCDE[moaAp1]	+	[GEA, HIBSCS]	Weak	
FNR	moeAB[moeAp]	-	[BPP, GEA]	Strong	
FNR	nac[nacp]	-	[GEA]	Weak	
FNR	napFDAGHBC-ccmABCDEFGH[napFp1]	+	[GEA, HIBSCS, SM]	Weak	
FNR	narGHJI[narGp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
FNR	narK[narKp1]	+	[BCE, BPP, GEA, SM]	Weak	
FNR	narXL[narXp]	-	[BCE, BPP, HIBSCS]	Weak	
FNR	ndh[ndhp]	-	[BCE, GEA, SM]	Weak	
FNR	nikABCDER[nikAp1]	+	[GEA, HIBSCS, SM]	Weak	
FNR	nirBDC-cysG[nirBp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
FNR	norVW[norVp]	-	[GEA, HIBSCS]	Weak	
FNR	nrdDG[nrdDp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
FNR	nrfABCDEFG[nrfAp]	+	[BCE, BPP, GEA]	Weak	
FNR	nuoABCEFGHIJKLMN[nuoAp2]	-	[BCE, GEA, SM]	Weak	
FNR	ompW[ompWp]	+	[AIBSCS, GEA]	Weak	
FNR	ompX[ompXp2]	-	[AIBSCS, GEA]	Weak	
FNR	pdeF[yfgFp]	+	[BPP, GEA, HIBSCS]	Strong	
FNR	pdhR-aceEF-lpd[pdhRp]	+-	[AIBSCS, BCE, GEA]	Weak	
FNR	pepT[pepTp]	+	[AIBSCS, GEA]	Weak	
FNR	pitA[pitAp]	+	[AIBSCS, GEA]	Weak	
FNR	pstS[pstSp]	+	[AIBSCS, GEA]	Weak	
FNR	pstSCA[pstSp]	+	[AIBSCS, GEA]	Weak	
FNR	pstSCAB-phoU[pstSp]	+	[AIBSCS, GEA]	Weak	
FNR	purMN[purMp]	-	[AIBSCS, GEA, HIBSCS, SM]	Weak	
FNR	puuAP[puuAp]	-	[AIBSCS, GEA]	Weak	
FNR	rplM-rpsI[rplMp]	-	[AIBSCS, GEA]	Weak	
FNR	rplT[rplTp]	-	[GEA]	Weak	
FNR	rplT-pheM[rplTp]	-	[GEA]	Weak	
FNR	rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ[rpsJp]	+	[GEA]	Weak	
FNR	rpsP-rimM-trmD-rplS[rpsPp]	-	[GEA]	Weak	
FNR	sdhCDAB-sucABCD[sdhCp]	-	[GEA]	Weak	
FNR	sodA[sodAp]	-	[BCE, GEA]	Weak	
FNR	soxR[soxRp]	-	[GEA]	Weak	
FNR	soxS[soxSp]	-	[GEA]	Weak	
FNR	ssuEADCB[ssuEp]	+	[AIBSCS, GEA]	Weak	
FNR	sucAB[sucAp]	-	[AIBSCS, GEA]	Weak	
FNR	sucABCD[sucAp]	-	[AIBSCS, GEA]	Weak	
FNR	tar-tap-cheRBYZ[tarp]	+	[AIBSCS, GEA]	Weak	
FNR	tdcABCDEFG[tdcAp]	+	[AIBSCS, GEA]	Weak	
FNR	tpx[tpxp]	-	[GEA, HIBSCS]	Weak	
FNR	ubiCA[ubiCp]	-	[GEA, HIBSCS]	Weak	
FNR	upp-uraA[uppp]	+	[AIBSCS, GEA]	Weak	
FNR	uxaCA[uxaCp]	+	[AIBSCS, GEA]	Weak	
FNR	xdhABC[xdhAp]	+	[GEA, HIBSCS]	Weak	
FNR	ybdN[ybdNp]	+	[AIBSCS]	Weak	
FNR	ychO[ychOp]	-	[AIBSCS, GEA]	Weak	
FNR	ydeJ[ydeJp]	+	[AIBSCS]	Weak	
FNR	ydhYVWXUT[ydhYp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
FNR	yecR[yecRp]	+	[AIBSCS, GEA]	Weak	
FNR	yeiL[yeiLp]	-	[GEA, HIBSCS]	Weak	
FNR	ygbA[ygbAp]	-	[AIBSCS, GEA]	Weak	
FNR	yhjA[yhjAp]	+	[AIBSCS, BPP]	Weak	
FNR	ynfEFGH-dmsD[ynfEp]	+	[AIBSCS, BPP, GEA, SM]	Weak	
FNR	yqjI[yqjIp]	+	[AIBSCS, GEA]	Weak	
FNR	ysgA[ysgAp]	-	[AIBSCS, GEA]	Weak	
FNR	ytfE[ytfEp]	-	[GEA]	Weak	
FNR	zwf[zwfp]	-	[GEA]	Weak	
FabR	fabA[fabAp]	-	[AIBSCS, BCE, BPP, GEA, HIBSCS]	Weak	
FabR	fabB[fabBp]	-	[BCE, BPP, GEA, HIBSCS]	Weak	
FadR	accA[accAp2]	+	[AIBSCS, BPP, GEA]	Weak	
FadR	accBC[accBp2]	+	[AIBSCS, BPP, GEA]	Weak	
FadR	accD[accDp]	+	[AIBSCS, BPP, GEA]	Weak	
FadR	fabA[fabAp]	+	[BCE, GEA, HIBSCS]	Weak	
FadR	fabB[fabBp]	+	[BPP, GEA, HIBSCS]	Strong	
FadR	fabHDG[fabHp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
FadR	fabI[fabIp]	+	[AIBSCS, BPP, GEA]	Weak	
FadR	fadBA[fadBp]	-	[BCE, HIBSCS]	Weak	
FadR	fadD-sroD[fadDp]	-	[BPP]	Strong	
FadR	fadE[fadEp]	-	[BPP, GEA, HIBSCS]	Strong	
FadR	fadH[fadHp]	-	[BPP, GEA, HIBSCS]	Strong	
FadR	fadIJ[fadIp]	-	[BPP, GEA, HIBSCS]	Strong	
FadR	fadL[fadLp]	-	[BCE, BPP, GEA, HIBSCS]	Weak	
FadR	fadM[fadMp1]	-	[HIBSCS]	Weak	
FadR	fadR[fadRp]	+	[AIBSCS]	Weak	
FadR	iclR[iclRp]	+	[BPP, GEA, SM]	Strong	
FadR	uspA[uspAp1]	-	[BCE, BPP, GEA, HIBSCS]	Weak	
FeaR	feaB[feaBp1]	+	[BPP, GEA, HIBSCS, SM]	Strong	
FeaR	tynA[tynAp1]	+	[BPP, GEA, HIBSCS, SM]	Strong	
FhlA	fdhF[fdhFp]	+	[BPP, GEA, HIBSCS]	Strong	
FhlA	hycABCDEFGHI[hycAp]	+	[BPP, GEA, HIBSCS]	Strong	
FhlA	hydN-hypF[hydNp]	+	[BPP, GEA]	Strong	
FhlA	hyfABCDEFGHIJR-focB[hyfAp]	+	[GEA]	Weak	
FhlA	hypABCDE[hypAp]	+	[BPP, GEA, HIBSCS]	Strong	
FhlA	hypABCDE-fhlA[hypAp]	+	[BPP, GEA, HIBSCS]	Strong	
Fis	acnB[acnBp]	-	[GEA, HIBSCS]	Weak	
Fis	acs-yjcH-actP[acsp1]	-	[BPP, GEA]	Strong	
Fis	acs-yjcH-actP[acsp2]	-	[AIBSCS, BPP, GEA, SM]	Weak	
Fis	adhE[adhEp1]	+	[BPP, GEA, HIBSCS]	Strong	
Fis	alaWX[alaWp]	+	[BCE]	Weak	
Fis	aldB[aldBp]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
Fis	ansB[ansBp1]	-	[AIBSCS, GEA]	Weak	
Fis	argU[argUp]	+	[BCE]	Weak	
Fis	argW[argWp]	+	[BCE]	Weak	
Fis	argX-hisR-leuT-proM[argXp]	+	[BCE]	Weak	
Fis	aspV[aspVp]	+	[BCE]	Weak	
Fis	bglG[bglGp]	-	[BPP]	Strong	
Fis	bglGFB[bglGp]	-	[BPP]	Strong	
Fis	carAB[carAp1]	+	[AIBSCS, GEA]	Weak	
Fis	cbpAM[cbpAp6]	-	[BPP, GEA, HIBSCS, SM]	Strong	
Fis	cbpAM[cbpAp4]	-	[]	null	
Fis	crp[crpp1]	-	[BPP, GEA, HIBSCS]	Strong	
Fis	crp[crpp3]	-	[BPP, GEA, HIBSCS]	Strong	
Fis	crp[crpp2]	-	[BPP, GEA, HIBSCS]	Strong	
Fis	cspI[cspIp]	-	[AIBSCS, GEA]	Weak	
Fis	deoCABD[deoCp2]	+	[AIBSCS, GEA]	Weak	
Fis	dmsABC[dmsAp1]	-	[AIBSCS, GEA]	Weak	
Fis	dps[dpsp]	-	[BPP, GEA, HIBSCS]	Strong	
Fis	dusB-fis[dusBp]	-	[BPP, GEA, HIBSCS, SM]	Strong	
Fis	fadBA[fadBp]	+	[AIBSCS, GEA]	Weak	
Fis	flxA[flxAp]	+	[AIBSCS, GEA]	Weak	
Fis	fumB[fumBp]	-	[GEA]	Weak	
Fis	gadAX[gadAp]	-	[AIBSCS, GEA]	Weak	
Fis	gadBC[gadBp]	-	[AIBSCS, GEA]	Weak	
Fis	glcC[glcCp]	-	[AIBSCS, GEA]	Weak	
Fis	glnA[glnAp2]	+	[AIBSCS, BPP, GEA]	Weak	
Fis	glnALG[glnAp2]	+	[AIBSCS, BPP, GEA]	Weak	
Fis	glnQ[glnQp]	-	[GEA]	Weak	
Fis	glpABC[glpABCp]	+	[AIBSCS, GEA]	Weak	
Fis	glpTQ[glpTQp]	+	[AIBSCS, GEA]	Weak	
Fis	gltX[gltXp3]	-	[AIBSCS, BCE, BPP, HIBSCS, SM]	Weak	
Fis	glyU[glyUp]	+	[BCE]	Weak	
Fis	grcA[grcAp1]	+	[AIBSCS, GEA]	Weak	
Fis	guaBA[guaBp]	-	[AIBSCS, BPP, SM]	Weak	
Fis	gyrA[gyrAp]	-	[BPP, GEA, HIBSCS]	Strong	
Fis	gyrB[gyrBp]	-	[BPP, GEA, HIBSCS]	Strong	
Fis	hlyE[hlyEp]	-	[AIBSCS, GEA]	Weak	
Fis	hns[hnsp]	+	[BPP]	Strong	
Fis	hupA[hupAp]	+	[BPP, GEA]	Strong	
Fis	hupB[hupBp2]	-	[BPP, GEA]	Strong	
Fis	hupB[hupBp3]	-	[BPP, GEA]	Strong	
Fis	hyaABCDEF[hyaAp]	-	[AIBSCS, GEA]	Weak	
Fis	katE[katEp]	-	[AIBSCS, GEA]	Weak	
Fis	leuQPV[leuQp]	+	[BCE, GEA, HIBSCS]	Weak	
Fis	leuX[leuXp]	+	[BCE]	Weak	
Fis	lpd[lpdAp]	+	[BCE, BPP]	Weak	
Fis	lysT-valT-lysW[lysTp]	+	[BCE]	Weak	
Fis	malEFG[malEp]	+	[AIBSCS, GEA]	Weak	
Fis	marRAB[marRp]	+	[BPP, GEA, SM]	Strong	
Fis	mazEFG[mazEp1]	+	[BPP, GEA, SM]	Strong	
Fis	mazEFG[mazEp2]	+	[BPP, GEA, SM]	Strong	
Fis	metT-leuW-glnUW-metU-glnVX[metTp]	+	[BCE]	Weak	
Fis	metY[metYp1]	+	[BCE]	Weak	
Fis	metY-rimP-nusA-infB[metYp1]	+	[BCE]	Weak	
Fis	metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp[metYp1]	+	[BCE]	Weak	
Fis	mglAC[mglAp]	-	[GEA]	Weak	
Fis	msrA[msrAp]	-	[AIBSCS, GEA]	Weak	
Fis	mtlADR[mtlAp]	-	[AIBSCS, GEA]	Weak	
Fis	nanA[nanAp]	-	[AIBSCS, GEA]	Weak	
Fis	nanATEK-yhcH[nanAp]	-	[AIBSCS, GEA]	Weak	
Fis	narGHJI[narGp]	-	[AIBSCS, GEA]	Weak	
Fis	narK[narKp1]	-	[AIBSCS, GEA]	Weak	
Fis	ndh[ndhp]	+	[BPP, HIBSCS, SM]	Strong	
Fis	nirBDC-cysG[nirBp]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
Fis	nrdAB-yfaE[nrdAp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
Fis	nrfABCDEFG[nrfAp]	-	[BPP, GEA]	Strong	
Fis	nuoABCEFGHIJKLMN[nuoAp1]	+	[BPP, GEA, HIBSCS]	Strong	
Fis	ogt[ogtp]	-	[BPP]	Strong	
Fis	osmE[osmEp]	-	[BPP]	Strong	
Fis	osmY[osmYp]	-	[AIBSCS, GEA]	Weak	
Fis	patA[patAp]	?	[AIBSCS]	Weak	
Fis	pdxA-rsmA[pdxAp]	+	[GEA]	Weak	
Fis	pdxA-rsmA-apaGH[pdxAp]	+	[GEA]	Weak	
Fis	pflB[pflBp1]	-	[AIBSCS, GEA]	Weak	
Fis	pheU[pheUp]	+	[BCE]	Weak	
Fis	pheV[pheVp]	+	[BCE]	Weak	
Fis	proK[proKp]	+	[BCE]	Weak	
Fis	proL[proLp]	+	[BCE]	Weak	
Fis	proP[proPp2]	+	[BPP, HIBSCS, SM]	Strong	
Fis	ptsG[ptsGp1]	+-	[BPP, GEA]	Strong	
Fis	ptsG[ptsGp2]	-	[BPP, GEA]	Strong	
Fis	pyrD[pyrDp]	-	[AIBSCS, GEA]	Weak	
Fis	queA[queAp]	+	[BPP, GEA]	Strong	
Fis	rnpB[rnpBp]	+	[BPP, GEA, HIBSCS]	Strong	
Fis	rplM-rpsI[rplMp]	-	[AIBSCS, HIBSCS]	Weak	
Fis	rrsA-ileT-alaT-rrlA-rrfA[rrsAp1]	+	[BPP, GEA]	Strong	
Fis	rrsB-gltT-rrlB-rrfB[rrsBp1]	+	[BPP, GEA]	Strong	
Fis	rrsC-gltU-rrlC-rrfC[rrsCp1]	+	[BPP, GEA]	Strong	
Fis	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF[rrsDp1]	+	[BPP, GEA]	Strong	
Fis	rrsE-gltV-rrlE-rrfE[rrsEp]	+	[BPP, GEA]	Strong	
Fis	rrsG-gltW-rrlG-rrfG[rrsGp1]	+	[BPP, GEA]	Strong	
Fis	rrsH-ileV-alaV-rrlH-rrfH[rrsHp1]	+	[BPP, GEA]	Strong	
Fis	serT[serTp]	+	[BCE]	Weak	
Fis	serX[serXp]	+	[BCE]	Weak	
Fis	sra[srap]	+	[GEA]	Weak	
Fis	ssrS[ssrSp1]	+	[BPP, GEA]	Strong	
Fis	ssrS[ssrSp2]	-	[BPP, GEA]	Strong	
Fis	ssrS-fau[ssrSp1]	+	[BPP, GEA]	Strong	
Fis	ssrS-fau[ssrSp2]	-	[BPP, GEA]	Strong	
Fis	thrU-tyrU-glyT-thrT-tufB[thrUp]	+	[BPP, GEA, HIBSCS]	Strong	
Fis	thrW[thrWp]	+	[BCE]	Weak	
Fis	topA[topAp1]	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
Fis	topA[topAp4]	-	[BPP, GEA, HIBSCS]	Strong	
Fis	trg[trgp1]	+	[AIBSCS, GEA]	Weak	
Fis	trmA[trmAp]	+	[HIBSCS]	Weak	
Fis	tyrTV-tpr[tyrTp]	+	[AIBSCS, BCE, BPP, GEA]	Weak	
Fis	valUXY-lysV[valUp]	+	[AIBSCS, BCE, BPP, HIBSCS, SM]	Weak	
Fis	xylFGHR[xylFp]	-	[AIBSCS, GEA]	Weak	
Fis	yeaR-yoaG[yeaRp]	-	[BPP]	Strong	
FlhDC	flgAMN[flgAp]	+	[GEA, HIBSCS]	Weak	
FlhDC	flgBCDEFGHIJ[flgBp]	+	[BPP, GEA, HIBSCS]	Strong	
FlhDC	flhBAE[flhBp]	+	[BPP, GEA, HIBSCS]	Strong	
FlhDC	fliAZ-tcyJ[fliAp1]	+	[BPP, GEA, HIBSCS, SM]	Strong	
FlhDC	fliDST[fliDp]	+	[HIBSCS]	Weak	
FlhDC	fliE[fliEp1]	+	[HIBSCS]	Weak	
FlhDC	fliFGHIJK[fliFp1]	+	[HIBSCS]	Weak	
FlhDC	fliLMNOPQR[fliLp1]	+	[BPP, GEA, HIBSCS]	Strong	
FlhDC	glpABC[glpABCp]	+	[GEA]	Weak	
FlhDC	gltI-sroC-gltJKL[gltIp1]	+	[BPP, GEA, HIBSCS]	Strong	
FlhDC	hydN-hypF[hydNp]	+	[GEA]	Weak	
FlhDC	mdh[mdhp1]	-	[GEA]	Weak	
FlhDC	mglBAC[mglBp]	-	[GEA]	Weak	
FlhDC	napFDAGHBC-ccmABCDEFGH[napFp1]	+	[GEA]	Weak	
FlhDC	napFDAGHBC-ccmABCDEFGH[napFp2]	+	[GEA]	Weak	
FlhDC	nrfABCDEFG[nrfAp]	+	[GEA]	Weak	
FlhDC	pdeH[yhjHp]	+	[GEA]	Weak	
FlhDC	ppdAB-ygdB-ppdC-recC[ppdAp]	+	[GEA]	Weak	
FlhDC	ycgR[ycgRp]	+	[GEA]	Weak	
FlhDC	yecR[yecRp]	+	[BPP, GEA, HIBSCS]	Strong	
FlhDC	ygbK[ygbKp]	+	[GEA]	Weak	
FliZ	csgBAC[csgBp]	-	[GEA]	Weak	
FliZ	csgDEFG[csgDp1]	-	[BPP, GEA]	Strong	
FliZ	csgDEFG[csgDp2]	-	[BPP, GEA]	Strong	
FliZ	flhDC[flhDp]	-	[BPP, GEA]	Strong	
FliZ	gadBC[gadBp]	-	[BPP, GEA]	Strong	
FliZ	gadE-mdtEF[gadEp]	-	[BPP, GEA, SM]	Strong	
FliZ	hdeAB-yhiD[hdeAp]	-	[BPP, GEA]	Strong	
FliZ	mlrA[mlrAp]	-	[BPP, GEA, SM]	Strong	
FliZ	osmY[osmYp]	-	[BPP, GEA]	Strong	
FliZ	pdeR[gmrp]	-	[BPP, GEA, SM]	Strong	
FucR	fucAO[fucAp]	+	[GEA, IMP]	Weak	
FucR	fucPIKUR[fucPp]	+	[GEA]	Weak	
Fur	aspC[aspCp]	-	[GEA]	Weak	
Fur	cirA[cirAp2]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
Fur	cirA[cirAp1]	-	[AIBSCS, BCE, BPP, GEA, HIBSCS]	Weak	
Fur	crl[crlp1]	-	[BPP, GEA]	Strong	
Fur	cyoABCDE[cyoAp]	-	[AIBSCS, GEA]	Weak	
Fur	entCEBAH[entCp]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
Fur	entS[entSp1]	+-	[BPP, GEA, HIBSCS]	Strong	
Fur	exbBD[exbBp]	-	[AIBSCS, BPP, HIBSCS]	Weak	
Fur	exbD[exbDp]	-	[HIBSCS]	Weak	
Fur	fecABCDE[fecAp]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
Fur	fecIR[fecIp]	-	[AIBSCS, BPP, GEA, HIBSCS, SM]	Weak	
Fur	feoABC[feoAp]	-	[GEA, HIBSCS]	Weak	
Fur	fepA-entD[fepAp]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
Fur	fepB[fepBp]	-	[AIBSCS, BPP, GEA, HIBSCS, SM]	Weak	
Fur	fepDGC[fepDp1]	-	[BPP, GEA, HIBSCS]	Strong	
Fur	fes-ybdZ-entF-fepE[fesp]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
Fur	fhuACDB[fhuAp]	-	[BPP, GEA, HIBSCS]	Strong	
Fur	fhuE[fhuEp]	-	[AIBSCS, HIBSCS]	Weak	
Fur	fhuF[fhuFp]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
Fur	fiu[fiup]	-	[HIBSCS]	Weak	
Fur	flhDC[flhDp]	-	[AIBSCS]	Weak	
Fur	fnr[fnrp]	-	[GEA]	Weak	
Fur	ftnA[ftnAp]	+	[BPP, GEA, HIBSCS]	Strong	
Fur	fumB[fumBp]	+	[GEA]	Weak	
Fur	fumC[fumCp]	-	[GEA]	Weak	
Fur	fur[furpb]	-	[BPP, HIBSCS]	Strong	
Fur	fur[furpa]	-	[BPP, HIBSCS]	Strong	
Fur	garPLRK-rnpB[garPp]	-	[BPP, HIBSCS]	Strong	
Fur	gdhA[gdhAp1]	+-	[GEA]	Weak	
Fur	glnD[glnDp]	-	[GEA]	Weak	
Fur	glnK-amtB[glnKp]	+-	[GEA]	Weak	
Fur	gltBDF[gltBp]	-	[GEA]	Weak	
Fur	gnd[gndp]	-	[GEA]	Weak	
Fur	gpmA[gpmAp]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
Fur	grcA[grcAp1]	-	[GEA]	Weak	
Fur	gspCDEFGHIJKLMO[gspCp3]	-	[BPP, HIBSCS]	Strong	
Fur	hmp[hmpAp]	-	[AS, GEA, HIBSCS, IMP]	Weak	
Fur	katE[katEp]	+	[IEP]	Weak	
Fur	katG[katGp]	+	[IEP]	Weak	
Fur	lpd[lpdAp]	+-	[GEA]	Weak	
Fur	metH[metHp]	-	[AIBSCS]	Weak	
Fur	metJ[metJp2]	-	[AIBSCS]	Weak	
Fur	mntH[mntHp]	-	[AIBSCS, HIBSCS, IGI]	Weak	
Fur	mntP[mntPp]	+	[AIBSCS]	Weak	
Fur	nac[nacp]	-	[GEA]	Weak	
Fur	ndh[ndhp]	-	[GEA]	Weak	
Fur	nohA-ydfN-tfaQ[nohAp]	-	[BPP, GEA, HIBSCS]	Strong	
Fur	nrdHIEF[nrdHp]	-	[AIBSCS, GEA]	Weak	
Fur	ompF[ompFp]	+	[GEA]	Weak	
Fur	oppABCDF[oppAp]	-	[BPP, HIBSCS]	Strong	
Fur	purR[purRp]	-	[AIBSCS]	Weak	
Fur	pyrC[pyrCp]	-	[BPP, GEA, HIBSCS]	Strong	
Fur	rcnAB[rcnAp]	-	[AIBSCS, GEA, HIBSCS]	Weak	
Fur	rpoS[rpoSp]	-	[GEA, IEP]	Weak	
Fur	ryhB[ryhBp]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
Fur	sdhCDAB-sucABCD[sdhCp]	+	[AIBSCS, GEA]	Weak	
Fur	sodA[sodAp]	-	[BCE, BPP, GEA, HIBSCS]	Weak	
Fur	soxR[soxRp]	-	[GEA]	Weak	
Fur	soxS[soxSp]	-	[GEA]	Weak	
Fur	sufABCDSE[sufAp]	-	[BPP, GEA, HIBSCS, SM]	Strong	
Fur	tonB[tonBp]	+	[AIBSCS, BPP, HIBSCS, BCE]	Weak	
Fur	ygaC[ygaCp]	-	[AIBSCS, GEA]	Weak	
Fur	yhhY[yhhYp]	-	[AIBSCS, GEA, HIBSCS]	Weak	
Fur	yjjZ[yjjZp]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
Fur	yqjH[yqjHp]	-	[AIBSCS, GEA, HIBSCS]	Weak	
Fur	zinT[zinTp]	+	[GEA]	Weak	
Fur	zwf[zwfp]	-	[GEA]	Weak	
GadE	cyoABCDE[cyoAp]	+	[GEA]	Weak	
GadE	fliC[fliCp]	+	[GEA]	Weak	
GadE	gadBC[gadBp]	+	[BPP, GEA, HIBSCS]	Strong	
GadE	gadE[gadEp1]	+	[GEA]	Weak	
GadE	gadE-mdtEF[gadEp]	+	[BPP, GEA, HIBSCS]	Strong	
GadE	gadX[gadXp]	+	[BPP, GEA]	Strong	
GadE	gadXW[gadXp]	+	[BPP, GEA]	Strong	
GadE	gltBDF[gltBp]	+	[BPP, GEA]	Strong	
GadE	gnd[gndp]	+	[GEA]	Weak	
GadE	hdeAB-yhiD[hdeAp]	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
GadE	hdeD[hdeDp]	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
GadE	lrp[lrpp]	+	[GEA]	Weak	
GadE	purA[purAp]	+	[GEA]	Weak	
GadE	rcsA[rcsAp]	+	[BPP, GEA]	Strong	
GadE	skp-lpxD-fabZ-lpxA[hlpAp]	+	[GEA]	Weak	
GadE-RcsB	adiC[adiCp7]	+	[BPP]	Strong	
GadE-RcsB	aslB[aslBp]	+	[BPP]	Strong	
GadE-RcsB	cadBA[cadBp]	+	[BPP, GEA]	Strong	
GadE-RcsB	gadAX[gadAp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
GadE-RcsB	slp-dctR[slpp]	+	[BPP, GEA]	Strong	
GadE-RcsB	yhiM[yhiMp]	+	[BPP]	Strong	
