# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	trmL//
go_1900192_6	
go_1900231_6	yghU//
go_1900232_7	
go_1900233_7	gapA//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	pdeR//
go_1900751_9	mazG//
go_1901135_4	guaA//ppiA//xthA//fadA//pabA//fabZ//
go_1901260_9	lipB//
go_1901264_6	trmI//fumB//cysE//
go_1901275_3	queA//
go_1901281_6	lpxK//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	patA//trmI//garL//pinE//rpiA//
go_1901652_5	
go_1901657_5	kbaZ//etk//bglB//
go_1901661_5	argC//nrdF//
go_1901684_8	folX//
go_1901891_5	
go_1901998_5	rlmH//yhdH//
go_1902021_6	tsaE//
go_1902022_6	gmk//menC//
go_1902023_6	thiM//
go_1902047_6	hdhA//yfbR//
go_1902201_7	
go_1902208_6	
go_1902209_7	malP//
go_1902210_7	
go_1902270_7	metH//
go_1902328_5	pdeF//
go_1902358_7	hmp//pgi//frdB//yfcG//
go_1902475_8	mepS//pykF//acpH//menH//gatD//gltD//yjjG//
go_1902476_9	entE//polB//
go_1902599_7	tag//thiD//
go_1902600_8	fau//aroD//rsmF//rhaA//recF//arnT//yccX//waaF//galE//
go_1902601_8	adeD//yhdH//
go_1902603_8	fbaA//
go_1902758_6	rpiA//
go_1902760_6	arnT//
go_1902767_6	wcaJ//
go_1902777_6	fklB//carA//purB//phnL//
go_1902778_5	ilvI//
go_1902815_7	gloC//
go_1903228_9	trmI//
go_1903352_7	murC//
go_1903401_7	alaS//hemC//
go_1903424_9	deoD//
go_1903457_6	
go_1903506_8	dacD//rnd//
go_1903507_9	melA//
go_1903658_6	
go_1903711_7	cpdB//ampH//
go_1903712_8	mcrA//mutM//dgcT//
go_1903714_8	garK//gstB//dxr//
go_1903716_8	dld//leuS//
go_1903785_7	ileS//uvrC//ligB//hflX//upp//
go_1903791_7	prpD//tyrS//
go_1903810_8	tsaC//fklB//
go_1903825_6	gadB//
go_1903826_8	pyrD//gor//
go_1903830_9	ogt//mhpD//
go_1903874_10	ilvI//dnaQ//ubiH//
go_1903959_8	patD//adeD//
go_1904659_9	galE//
go_1904812_9	yggF//
go_1905039_7	ubiD//recG//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	dusB//
go_1990481_8	insI-2//
go_1990497_6	tilS//
go_1990507_5	
go_1990516_9	yjjX//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	trmH//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	yigL//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	adk//
