# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	ppiA//
go_1900233_7	pyrD//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	cadA//
go_1900751_9	rdgB//
go_1901135_4	ubiA//yigL//dhaM//tdk//lpxH//glpD//
go_1901260_9	arnT//
go_1901264_6	nrfA//edd//nrfB//
go_1901275_3	miaB//
go_1901281_6	ribD//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	codA//rdgB//opgB//thiM//hemF//
go_1901652_5	
go_1901657_5	kefF//yajO//mutT//
go_1901661_5	talB//pdeL//
go_1901684_8	abgA//
go_1901891_5	
go_1901998_5	prmC//tsaE//
go_1902021_6	pta//
go_1902022_6	dapF//mocA//
go_1902023_6	mltA//
go_1902047_6	entD//menI//
go_1902201_7	
go_1902208_6	
go_1902209_7	wcaJ//
go_1902210_7	
go_1902270_7	kdsC//
go_1902328_5	prpC//
go_1902358_7	mcrB//fucI//gpsA//selA//
go_1902475_8	tgt//waaC//ispG//sufS//tauD//pdxA//gdhA//
go_1902476_9	mgsA//menC//
go_1902599_7	glpA//tatD//
go_1902600_8	guaB//mngB//aroC//patZ//asnA//dhaL//xthA//nrfD//pdxJ//
go_1902601_8	nfi//apt//
go_1902603_8	rpiB//
go_1902758_6	ansA//
go_1902760_6	waaA//
go_1902767_6	psuG//
go_1902777_6	glyA//uxaB//pdxB//pepD//
go_1902778_5	hyaB//
go_1902815_7	pabB//
go_1903228_9	dgt//
go_1903352_7	mgsA//
go_1903401_7	sad//umuC//
go_1903424_9	prpB//
go_1903457_6	
go_1903506_8	ybcF//thiC//
go_1903507_9	gudD//
go_1903658_6	
go_1903711_7	ispU//ybjI//
go_1903712_8	rsuA//hcaF//lipA//
go_1903714_8	pepD//trpA//cpsG//
go_1903716_8	torA//acnA//
go_1903785_7	yfbR//sodA//glxK//mcrA//dnaE//
go_1903791_7	def//acs//
go_1903810_8	gpt//glpK//
go_1903825_6	rpiA//
go_1903826_8	malP//maa//
go_1903830_9	thiD//glcD//
go_1903874_10	folX//ulaG//hcaE//
go_1903959_8	proS//cysI//
go_1904659_9	eda//
go_1904812_9	hemF//
go_1905039_7	sodC//metG//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	gcvP//
go_1990481_8	tig//
go_1990497_6	alkB//
go_1990507_5	
go_1990516_9	frdC//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	torY//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	mrcA//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	pta//
