# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	tesB//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	selD//
go_1900751_9	yagE//
go_1901135_4	astB//rluD//preA//arnA//hyaA//icd//
go_1901260_9	rsmD//
go_1901264_6	arsC//purT//aphA//
go_1901275_3	gabD//
go_1901281_6	napA//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	fau//cysS//rluF//ilvN//pyrB//
go_1901652_5	
go_1901657_5	bioH//epmC//ynfE//
go_1901661_5	glpK//amyA//
go_1901684_8	cobC//
go_1901891_5	
go_1901998_5	fadJ//waaH//
go_1902021_6	thiH//
go_1902022_6	ubiG//hcaB//
go_1902023_6	pbpC//
go_1902047_6	mutY//rfbD//
go_1902201_7	
go_1902208_6	
go_1902209_7	tsaB//
go_1902210_7	
go_1902270_7	def//
go_1902328_5	mnmG//
go_1902358_7	ulaD//rdgB//nadK//tadA//
go_1902475_8	sdhC//yfdR//gapA//ybjI//hchA//bglX//nagZ//
go_1902476_9	gcd//pdeF//
go_1902599_7	ruvA//thiI//
go_1902600_8	dnaE//garR//rffG//glyS//adhE//add//thiH//azoR//pdxK//
go_1902601_8	recJ//waaA//
go_1902603_8	solA//
go_1902758_6	mraY//
go_1902760_6	ilvB//
go_1902767_6	ilvI//
go_1902777_6	recR//cheR//umpG//astB//
go_1902778_5	fau//
go_1902815_7	melA//
go_1903228_9	lipB//
go_1903352_7	sucD//
go_1903401_7	paaJ//apaH//
go_1903424_9	epmA//
go_1903457_6	
go_1903506_8	metE//xdhB//
go_1903507_9	rutC//
go_1903658_6	
go_1903711_7	mazG//codA//
go_1903712_8	dmsA//glmU//hemE//
go_1903714_8	hcaD//gshB//xapA//
go_1903716_8	purC//phnJ//
go_1903785_7	nrfC//ychF//ilvA//fumB//dnaQ//
go_1903791_7	queC//gshA//
go_1903810_8	mobA//sucB//
go_1903825_6	rlmC//
go_1903826_8	thiM//alaS//
go_1903830_9	gloA//pykF//
go_1903874_10	fumB//ygeX//adhE//
go_1903959_8	waaB//nrdD//
go_1904659_9	pdxA//
go_1904812_9	menB//
go_1905039_7	fucA//ybiV//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	amiD//
go_1990481_8	pfkB//
go_1990497_6	hinT//
go_1990507_5	
go_1990516_9	melA//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	rlmA//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	otsA//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	galT//
