# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	tyrS//
go_1900232_7	
go_1900233_7	rfaE//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	ispU//
go_1900751_9	xylA//
go_1901135_4	tnaA//nadB//dmsB//fabD//truA//yeaE//
go_1901260_9	fucO//
go_1901264_6	panD//gapA//ubiE//
go_1901275_3	glyA//
go_1901281_6	puuC//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	rbn//lpoA//ilvH//cysN//mazG//
go_1901652_5	
go_1901657_5	nth//rlmD//adhE//
go_1901661_5	mug//acnA//
go_1901684_8	waaG//
go_1901891_5	
go_1901998_5	murQ//pepD//
go_1902021_6	cyaA//
go_1902022_6	add//mltA//
go_1902023_6	surA//
go_1902047_6	ulaD//oxc//
go_1902201_7	
go_1902208_6	
go_1902209_7	aroH//
go_1902210_7	
go_1902270_7	guaD//
go_1902328_5	panB//
go_1902358_7	narG//panB//mmuM//murC//
go_1902475_8	pgm//folM//gcd//frmB//malZ//pyrD//rne//
go_1902476_9	murE//bglA//
go_1902599_7	talB//narH//
go_1902600_8	cpdB//ychF//ruvB//sgbU//mnmA//astC//mhpC//ynfF//dcd//
go_1902601_8	yfbR//ispU//
go_1902603_8	dgoD//
go_1902758_6	dmsB//
go_1902760_6	abgB//
go_1902767_6	adiA//
go_1902777_6	moaE//gshA//opgB//maeA//
go_1902778_5	murG//
go_1902815_7	dusB//
go_1903228_9	bfr//
go_1903352_7	mnaT//
go_1903401_7	glgA//kduI//
go_1903424_9	otsB//
go_1903457_6	
go_1903506_8	tdcB//rbn//
go_1903507_9	paaF//
go_1903658_6	
go_1903711_7	menE//solA//
go_1903712_8	fabA//entD//gstA//
go_1903714_8	thiM//speB//pphB//
go_1903716_8	uxaC//torA//
go_1903785_7	dhaL//kdsC//acnA//mutL//phnM//
go_1903791_7	gcvT//glpD//
go_1903810_8	dut//nrfA//
go_1903825_6	bioH//
go_1903826_8	accB//gpt//
go_1903830_9	uvrC//fabG//
go_1903874_10	pgaB//mltD//gutQ//
go_1903959_8	sdaB//nirD//
go_1904659_9	nanE//
go_1904812_9	psd//
go_1905039_7	gcd//thrS//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	nanE//
go_1990481_8	dhaK//
go_1990497_6	frdB//
go_1990507_5	
go_1990516_9	uxaA//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	ubiE//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	fklB//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	yqjH//
