# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	tcdA//
go_1900232_7	
go_1900233_7	ilvH//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	rluE//
go_1900751_9	leuD//
go_1901135_4	dgcZ//aroK//cmoB//truD//panD//adeD//
go_1901260_9	lldD//
go_1901264_6	hisA//yjhG//gpmA//
go_1901275_3	dut//
go_1901281_6	fadE//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	dapB//thiH//rsmE//queA//caiD//
go_1901652_5	
go_1901657_5	eptC//kdsA//trmO//
go_1901661_5	allC//recR//
go_1901684_8	kduD//
go_1901891_5	
go_1901998_5	fkpB//galT//
go_1902021_6	rpe//
go_1902022_6	cdd//gcvP//
go_1902023_6	ruvC//
go_1902047_6	mhpC//rluB//
go_1902201_7	
go_1902208_6	
go_1902209_7	epmA//
go_1902210_7	
go_1902270_7	serA//
go_1902328_5	lysS//
go_1902358_7	truB//queA//mnmG//nhoA//
go_1902475_8	eda//glgP//poxB//metG//fabA//gstB//citX//
go_1902476_9	cobU//polA//
go_1902599_7	ynfH//selB//
go_1902600_8	tktA//kdsD//polA//gshB//preT//dgcM//glpD//mtn//hemF//
go_1902601_8	yigB//rsgA//
go_1902603_8	psuG//
go_1902758_6	hpt//
go_1902760_6	hisF//
go_1902767_6	gmk//
go_1902777_6	ymdB//glpA//serC//araD//
go_1902778_5	phnJ//
go_1902815_7	rbsD//
go_1903228_9	mnaT//
go_1903352_7	cysD//
go_1903401_7	rfbB//lysA//
go_1903424_9	ycaO//
go_1903457_6	
go_1903506_8	kbaZ//fumB//
go_1903507_9	kefF//
go_1903658_6	
go_1903711_7	cueO//dut//
go_1903712_8	entA//ahr//lysU//
go_1903714_8	aldB//argH//etk//
go_1903716_8	yjjX//yjcS//
go_1903785_7	ribA//recJ//xylB//yhdJ//sodB//
go_1903791_7	fadA//astB//
go_1903810_8	mrcB//hisA//
go_1903825_6	hcaD//
go_1903826_8	insI-1//garD//
go_1903830_9	melA//ppx//
go_1903874_10	pta//relA//queF//
go_1903959_8	sdhA//guaA//
go_1904659_9	ung//
go_1904812_9	miaB//
go_1905039_7	cadA//aroK//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	accC//
go_1990481_8	iaaA//
go_1990497_6	paaB//
go_1990507_5	
go_1990516_9	hemD//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	yciV//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	yjhG//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	hemD//
