# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	ubiD//
go_1900231_6	cmoA//
go_1900232_7	
go_1900233_7	thiL//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	arnT//
go_1900751_9	polB//
go_1901135_4	queF//lpd//pabA//gutQ//opgE//pdxA//
go_1901260_9	selB//
go_1901264_6	rlmL//umpG//tesB//
go_1901275_3	wzc//
go_1901281_6	malQ//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	arsC//gpmA//aspS//acnA//rffH//
go_1901652_5	
go_1901657_5	pgsA//murG//panD//
go_1901661_5	dosP//adhE//
go_1901684_8	metF//
go_1901891_5	
go_1901998_5	preT//ispU//
go_1902021_6	ddlB//
go_1902022_6	moeA//yqhD//
go_1902023_6	ribA//
go_1902047_6	entC//melA//
go_1902201_7	
go_1902208_6	
go_1902209_7	glpB//
go_1902210_7	
go_1902270_7	dbpA//
go_1902328_5	proC//
go_1902358_7	gltB//alkB//selD//fbaA//
go_1902475_8	tktB//selB//araD//arnB//paaF//rihA//betB//
go_1902476_9	ribB//tdh//
go_1902599_7	murA//rsuA//
go_1902600_8	sgbE//miaB//frdA//epmA//xdhB//gph//cysG//ynfF//hinT//
go_1902601_8	waaH//arsC//
go_1902603_8	gltB//
go_1902758_6	ilvC//
go_1902760_6	glpB//
go_1902767_6	ruvC//
go_1902777_6	mazG//cysK//menI//metK//
go_1902778_5	asd//
go_1902815_7	alsE//
go_1903228_9	fklB//
go_1903352_7	dmlA//
go_1903401_7	ribA//eno//
go_1903424_9	mocA//
go_1903457_6	
go_1903506_8	cdsA//maeA//
go_1903507_9	cysD//
go_1903658_6	
go_1903711_7	putA//paoC//
go_1903712_8	queA//mltB//waaZ//
go_1903714_8	gabT//rsmE//kefF//
go_1903716_8	tsaD//pabA//
go_1903785_7	fabH//glgX//yeaE//nadA//recR//
go_1903791_7	deoC//trmD//
go_1903810_8	ulaD//pinE//
go_1903825_6	preT//
go_1903826_8	xdhB//metH//
go_1903830_9	tdcD//waaB//
go_1903874_10	gpt//fabB//adhP//
go_1903959_8	ubiD//moeB//
go_1904659_9	truA//
go_1904812_9	icd//
go_1905039_7	folC//birA//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	hemG//
go_1990481_8	amiD//
go_1990497_6	frlB//
go_1990507_5	
go_1990516_9	entD//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	trmJ//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	nadD//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	ribA//
