# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	thrC//
go_1900231_6	ppiA//
go_1900232_7	
go_1900233_7	pdeH//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	rsmJ//
go_1900751_9	trpS//
go_1901135_4	cheB//folM//fdhF//fes//coaA//phnJ//
go_1901260_9	glcD//
go_1901264_6	argA//yjhH//truC//
go_1901275_3	coaA//
go_1901281_6	rlmE//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	pyrB//der//ahr//fucK//mocA//
go_1901652_5	
go_1901657_5	hisC//mtgA//recG//
go_1901661_5	ynfE//entA//
go_1901684_8	aceA//
go_1901891_5	
go_1901998_5	ybhA//hemE//
go_1902021_6	yfcG//
go_1902022_6	murI//rpe//
go_1902023_6	adhE//
go_1902047_6	nadE//wecB//
go_1902201_7	
go_1902208_6	
go_1902209_7	rnt//
go_1902210_7	
go_1902270_7	dacA//
go_1902328_5	aspA//
go_1902358_7	cpdB//argF//dsdA//rlmG//
go_1902475_8	entE//cysH//rlmM//murG//narI//speE//rffH//
go_1902476_9	glmM//leuC//
go_1902599_7	rsgA//rsmG//
go_1902600_8	glgP//gcvH//thrA//lpd//dgcZ//yfdR//yegS//hemH//moaA//
go_1902601_8	aspC//tauD//
go_1902603_8	bcsA//
go_1902758_6	hemC//
go_1902760_6	tdcB//
go_1902767_6	alaA//
go_1902777_6	ldhA//metG//hyaC//speE//
go_1902778_5	bioB//
go_1902815_7	insI-2//
go_1903228_9	rhaB//
go_1903352_7	purN//
go_1903401_7	avtA//nagZ//
go_1903424_9	puuD//
go_1903457_6	
go_1903506_8	rph//murF//
go_1903507_9	adk//
go_1903658_6	
go_1903711_7	thiM//kduI//
go_1903712_8	tyrS//waaS//citE//
go_1903714_8	nfi//speG//yahK//
go_1903716_8	dhaM//accC//
go_1903785_7	cysQ//ispB//ribF//aroC//alr//
go_1903791_7	ispA//asnA//
go_1903810_8	sgbH//glnE//
go_1903825_6	hcaC//
go_1903826_8	mcrB//sseA//
go_1903830_9	tag//rsmG//
go_1903874_10	opgB//citE//cobC//
go_1903959_8	rlmG//ubiF//
go_1904659_9	nanA//
go_1904812_9	yjiA//
go_1905039_7	sgbH//ileS//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	lysU//
go_1990481_8	cof//
go_1990497_6	sdaA//
go_1990507_5	
go_1990516_9	scpC//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	mog//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	purB//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	glgA//
