# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	phnN//
go_0099133_8	nadC//lpxD//csdA//acnA//frdB//kduI//puuE//rfbD//gloC//entC//aroH//mtgA//
go_0101030_8	queF//
go_1900190_5	fabH//
go_1900191_6	
go_1900192_6	
go_1900231_6	hemF//
go_1900232_7	
go_1900233_7	glcB//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	wecC//
go_1900751_9	pykA//
go_1901135_4	mhpD//mgsA//mgsA//dmsA//argE//waaF//
go_1901260_9	cobS//
go_1901264_6	araA//sthA//tdh//
go_1901275_3	hcp//
go_1901281_6	dusC//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	lpxB//asnB//cpsG//argS//tyrB//
go_1901652_5	
go_1901657_5	rsgA//aspA//frdA//
go_1901661_5	malS//asnB//
go_1901684_8	ilvH//
go_1901891_5	
go_1901998_5	dgoD//queA//
go_1902021_6	argG//
go_1902022_6	metL//cdd//
go_1902023_6	lysS//
go_1902047_6	roxA//lldD//
go_1902201_7	
go_1902208_6	
go_1902209_7	nanA//
go_1902210_7	
go_1902270_7	entE//
go_1902328_5	glk//
go_1902358_7	ftnA//dld//eptA//yciA//
go_1902475_8	allB//citE//suhB//leuC//truB//narG//nagB//
go_1902476_9	thiL//galE//
go_1902599_7	paaK//mazG//
go_1902600_8	murD//truB//galM//waaH//fabA//hcaD//umuC//fre//sucC//
go_1902601_8	yjhG//ribE//
go_1902603_8	pnp//
go_1902758_6	azoR//
go_1902760_6	speA//
go_1902767_6	paaK//
go_1902777_6	ldtC//fucA//napA//tesB//
go_1902778_5	carB//
go_1902815_7	uxaB//
go_1903228_9	nagB//
go_1903352_7	nagZ//
go_1903401_7	glpA//sufS//
go_1903424_9	nagK//
go_1903457_6	
go_1903506_8	araA//ppiA//
go_1903507_9	ycjU//
go_1903658_6	
go_1903711_7	yjcS//sucB//
go_1903712_8	thiG//paaH//preT//
go_1903714_8	pgm//proA//cheB//
go_1903716_8	yagE//rutB//
go_1903785_7	folD//arnT//betB//gcvT//lysC//
go_1903791_7	lyxK//avtA//
go_1903810_8	adk//sucA//
go_1903825_6	deoA//
go_1903826_8	waaO//cobS//
go_1903830_9	iaaA//aroF//
go_1903874_10	fkpA//mltC//lpoB//
go_1903959_8	mhpC//rhaB//
go_1904659_9	glpX//
go_1904812_9	speD//
go_1905039_7	ttdA//clsB//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	mepS//
go_1990481_8	arnB//
go_1990497_6	dmsC//
go_1990507_5	
go_1990516_9	hchA//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	sseA//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	aroE//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	lpoA//
