# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	frdC//
go_1900705_8	
go_1900727_8	metE//
go_1900751_9	hisD//
go_1901135_4	mngB//fkpA//entA//lsrK//otsA//trmA//
go_1901260_9	hcaC//
go_1901264_6	mltA//folD//cysC//
go_1901275_3	fabZ//
go_1901281_6	hisB//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	rbsK//rffH//prmB//moeB//rlmD//
go_1901652_5	
go_1901657_5	yagF//lgoD//ansA//
go_1901661_5	pabA//cdd//
go_1901684_8	dapF//
go_1901891_5	
go_1901998_5	fadB//lsrK//
go_1902021_6	carA//
go_1902022_6	recR//araD//
go_1902023_6	tsaD//
go_1902047_6	lpxT//pgpB//
go_1902201_7	
go_1902208_6	
go_1902209_7	miaA//
go_1902210_7	
go_1902270_7	galK//
go_1902328_5	napA//
go_1902358_7	patZ//lpxM//abgB//rsmD//
go_1902475_8	ubiD//nemA//eda//aldB//yjhG//scpC//glpX//
go_1902476_9	gudD//glmM//
go_1902599_7	yihS//speC//
go_1902600_8	alaS//sdhB//arnA//hcaC//mnaT//tktB//mocA//mrdA//lacZ//
go_1902601_8	tehB//hemH//
go_1902603_8	rfaE//
go_1902758_6	sucA//
go_1902760_6	gpmM//
go_1902767_6	ynfE//
go_1902777_6	sbcB//pgpB//mutL//mltD//
go_1902778_5	prpD//
go_1902815_7	thiD//
go_1903228_9	aroK//
go_1903352_7	rhaA//
go_1903401_7	fadM//ispG//
go_1903424_9	ppsA//
go_1903457_6	
go_1903506_8	ppk//rluA//
go_1903507_9	yhdH//
go_1903658_6	
go_1903711_7	cysI//rfaD//
go_1903712_8	wecC//rfaD//pepD//
go_1903714_8	mnmE//nth//waaY//
go_1903716_8	napA//entF//
go_1903785_7	tmk//mcrB//trmI//waaU//ltaE//
go_1903791_7	ispU//rutD//
go_1903810_8	uxuB//gatD//
go_1903825_6	folP//
go_1903826_8	yajO//dbpA//
go_1903830_9	purT//tmcA//
go_1903874_10	fabH//melA//treF//
go_1903959_8	argS//amiD//
go_1904659_9	glk//
go_1904812_9	cysD//
go_1905039_7	ada//icd//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	gabD//
go_1990481_8	arsC//
go_1990497_6	dusB//
go_1990507_5	
go_1990516_9	pcm//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	menD//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	nagZ//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	uxaB//
