# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	ribA//
go_1900192_6	
go_1900231_6	hcaE//
go_1900232_7	
go_1900233_7	serA//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	prpC//
go_1900751_9	manA//
go_1901135_4	iscS//lpxC//gloC//glnA//garL//hemH//
go_1901260_9	hmp//
go_1901264_6	nrdB//galK//ribA//
go_1901275_3	phnP//
go_1901281_6	rluB//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	rihA//moaD//dxr//rlmA//tilS//
go_1901652_5	
go_1901657_5	ybiV//adhP//fbp//
go_1901661_5	gstA//gcl//
go_1901684_8	purA//
go_1901891_5	
go_1901998_5	selB//deoD//
go_1902021_6	moeB//
go_1902022_6	pdeR//uvrA//
go_1902023_6	rutD//
go_1902047_6	glpB//glgX//
go_1902201_7	
go_1902208_6	
go_1902209_7	proB//
go_1902210_7	
go_1902270_7	cheR//
go_1902328_5	manA//
go_1902358_7	aroA//tktB//curA//thiH//
go_1902475_8	tktB//ybjG//ilvM//dgt//gloB//dusC//mltC//
go_1902476_9	citG//xthA//
go_1902599_7	hcaB//aceA//
go_1902600_8	rlmI//rsmH//ruvA//speB//lpd//kefF//lpxD//pdxJ//tdcG//
go_1902601_8	tcdA//bioC//
go_1902603_8	aceB//
go_1902758_6	mhpD//
go_1902760_6	aldA//
go_1902767_6	purL//
go_1902777_6	lyxK//phnO//sodA//rimK//
go_1902778_5	pdxB//
go_1902815_7	lsrK//
go_1903228_9	rsmB//
go_1903352_7	yrfG//
go_1903401_7	ybhA//recR//
go_1903424_9	rhaD//
go_1903457_6	
go_1903506_8	cysE//dgt//
go_1903507_9	menD//
go_1903658_6	
go_1903711_7	gntK//napA//
go_1903712_8	prs//hcaD//wcaJ//
go_1903714_8	speF//rnd//ribD//
go_1903716_8	garK//tdh//
go_1903785_7	mak//garR//dgoD//folE//rsmA//
go_1903791_7	sseA//bacA//
go_1903810_8	yfeW//nrfB//
go_1903825_6	alsK//
go_1903826_8	nth//agp//
go_1903830_9	curA//cpdA//
go_1903874_10	alaC//thrC//hemB//
go_1903959_8	ynfH//waaJ//
go_1904659_9	yjjX//
go_1904812_9	glcD//
go_1905039_7	recF//kduD//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	menF//
go_1990481_8	nrdE//
go_1990497_6	pgpC//
go_1990507_5	
go_1990516_9	nrfB//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	yieH//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	glpX//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	ubiI//
