# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	hisS//
go_1900191_6	
go_1900192_6	
go_1900231_6	fadJ//
go_1900232_7	
go_1900233_7	bioF//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	pldB//
go_1900751_9	glpC//
go_1901135_4	yeiG//torA//tilS//entD//pykA//umuC//
go_1901260_9	lipB//
go_1901264_6	mog//glyS//glpC//
go_1901275_3	mak//
go_1901281_6	nanK//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	gshB//thiI//valS//purT//tpiA//
go_1901652_5	
go_1901657_5	pagP//tsaC//gutQ//
go_1901661_5	paaG//gcd//
go_1901684_8	acpH//
go_1901891_5	
go_1901998_5	metB//proC//
go_1902021_6	ispG//
go_1902022_6	rluB//purF//
go_1902023_6	yigL//
go_1902047_6	gapA//moaE//
go_1902201_7	
go_1902208_6	
go_1902209_7	sucB//
go_1902210_7	
go_1902270_7	ackA//
go_1902328_5	dfp//
go_1902358_7	nadC//nadA//purU//dacD//
go_1902475_8	cysM//cfa//ldcA//sdhC//ansA//hcaC//pyrC//
go_1902476_9	fadD//pgi//
go_1902599_7	hemL//recR//
go_1902600_8	allC//dosP//waaL//patD//abgA//ribE//iaaA//ribE//nemA//
go_1902601_8	rlmH//rlmD//
go_1902603_8	lldD//
go_1902758_6	folA//
go_1902760_6	glmU//
go_1902767_6	araB//
go_1902777_6	purN//nudG//yigB//ldtE//
go_1902778_5	fadB//
go_1902815_7	udp//
go_1903228_9	glcE//
go_1903352_7	sgbE//
go_1903401_7	eda//gatZ//
go_1903424_9	garD//
go_1903457_6	
go_1903506_8	ispB//pta//
go_1903507_9	menH//
go_1903658_6	
go_1903711_7	ribB//paaH//
go_1903712_8	yagF//cmk//accA//
go_1903714_8	nadE//treF//rbsK//
go_1903716_8	glxR//ldtB//
go_1903785_7	sucC//speD//speB//yagF//puuE//
go_1903791_7	pyrG//allC//
go_1903810_8	aceB//allD//
go_1903825_6	waaB//
go_1903826_8	cyaA//hypF//
go_1903830_9	hyaA//fadH//
go_1903874_10	iaaA//fumC//uxaA//
go_1903959_8	fabH//glnS//
go_1904659_9	hemD//
go_1904812_9	tdcB//
go_1905039_7	pdxB//glpC//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	malP//
go_1990481_8	metK//
go_1990497_6	pdeR//
go_1990507_5	
go_1990516_9	ybcF//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	melA//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	ruvA//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	opgE//
