# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	icd//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	ispG//
go_1900751_9	nudC//
go_1901135_4	araD//hdhA//kbaZ//purN//argE//nagA//
go_1901260_9	rlmL//
go_1901264_6	paaG//glpC//entC//
go_1901275_3	rsmF//
go_1901281_6	astC//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	umpH//ldtE//btuR//murG//mutL//
go_1901652_5	
go_1901657_5	entF//ada//fes//
go_1901661_5	hemL//ribC//
go_1901684_8	ldcC//
go_1901891_5	
go_1901998_5	mcrA//fruK//
go_1902021_6	ycjU//
go_1902022_6	garR//purA//
go_1902023_6	nanA//
go_1902047_6	mepS//pyrC//
go_1902201_7	
go_1902208_6	
go_1902209_7	waaS//
go_1902210_7	
go_1902270_7	dnaE//
go_1902328_5	xylA//
go_1902358_7	acpH//cpdB//glcD//solA//
go_1902475_8	murQ//rluB//trpD//yieF//nadA//recO//puuA//
go_1902476_9	dapD//deoB//
go_1902599_7	menC//sdaB//
go_1902600_8	gatD//dam//recR//umpG//mgsA//purB//gmd//paaH//iscS//
go_1902601_8	sodA//glcB//
go_1902603_8	etp//
go_1902758_6	tyrA//
go_1902760_6	uxuA//
go_1902767_6	uvrB//
go_1902777_6	rpiB//tsaD//nrfD//dgoK//
go_1902778_5	hpt//
go_1902815_7	pyrG//
go_1903228_9	ubiG//
go_1903352_7	nagA//
go_1903401_7	gabT//waaH//
go_1903424_9	glgP//
go_1903457_6	
go_1903506_8	ruvC//tynA//
go_1903507_9	fruK//
go_1903658_6	
go_1903711_7	leuD//torA//
go_1903712_8	proB//putA//pgaB//
go_1903714_8	argD//gadB//preT//
go_1903716_8	lpxM//nadA//
go_1903785_7	dgoD//cysD//putA//uxaA//wzb//
go_1903791_7	pdxH//thrA//
go_1903810_8	yjhH//tyrS//
go_1903825_6	dacD//
go_1903826_8	rffH//allB//
go_1903830_9	phnN//yieF//
go_1903874_10	tilS//ddlB//ilvE//
go_1903959_8	tauD//glnE//
go_1904659_9	nrfC//
go_1904812_9	tatD//
go_1905039_7	putA//ung//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	cyaA//
go_1990481_8	hcaB//
go_1990497_6	argS//
go_1990507_5	
go_1990516_9	truD//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	mrcA//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	rfbD//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	tyrB//
