# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	acpH//
go_1900192_6	
go_1900231_6	aldA//
go_1900232_7	
go_1900233_7	hemH//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	miaA//
go_1900751_9	ttdB//
go_1901135_4	talB//nrdB//allC//hmp//tdcE//guaA//
go_1901260_9	queA//
go_1901264_6	ymdB//ampH//hyaB//
go_1901275_3	epmC//
go_1901281_6	paaZ//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	yihT//ttdA//dkgB//galK//gudD//
go_1901652_5	
go_1901657_5	add//aphA//gor//
go_1901661_5	btuE//fumB//
go_1901684_8	ftsI//
go_1901891_5	
go_1901998_5	rrrD//fes//
go_1902021_6	glmS//
go_1902022_6	yagF//lldD//
go_1902023_6	frlB//
go_1902047_6	yhdH//gpt//
go_1902201_7	
go_1902208_6	
go_1902209_7	folC//
go_1902210_7	
go_1902270_7	psuG//
go_1902328_5	rsmA//
go_1902358_7	serA//kdsC//ilvE//murB//
go_1902475_8	scpB//cysN//clsA//murC//eptC//narZ//yigB//
go_1902476_9	frmB//bioH//
go_1902599_7	ddlB//glyA//
go_1902600_8	trpC//murQ//gltD//pphB//iaaA//nrdD//mrcB//waaH//trmH//
go_1902601_8	pyrF//bioF//
go_1902603_8	ada//
go_1902758_6	fadJ//
go_1902760_6	metG//
go_1902767_6	gstB//
go_1902777_6	dacA//iscS//cpdB//scpB//
go_1902778_5	dgcM//
go_1902815_7	gadA//
go_1903228_9	fabZ//
go_1903352_7	lacZ//
go_1903401_7	gcvH//cobC//
go_1903424_9	serA//
go_1903457_6	
go_1903506_8	gudD//pgaB//
go_1903507_9	fklB//
go_1903658_6	
go_1903711_7	phnP//thiM//
go_1903712_8	hisF//rlmC//ddlA//
go_1903714_8	hemA//fadE//insI-2//
go_1903716_8	tmk//tesB//
go_1903785_7	dhaK//frlC//epd//pck//xylA//
go_1903791_7	dxr//bioH//
go_1903810_8	ampH//purL//
go_1903825_6	fabI//
go_1903826_8	gatZ//cynT//
go_1903830_9	cpdA//rnt//
go_1903874_10	maa//pgk//waaJ//
go_1903959_8	mutT//nfi//
go_1904659_9	lpxP//
go_1904812_9	adhP//
go_1905039_7	adk//frdB//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	gor//
go_1990481_8	pgsA//
go_1990497_6	mrcB//
go_1990507_5	
go_1990516_9	frmB//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	mutT//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	prpD//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	cysM//
