# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	nirB//
go_1900232_7	
go_1900233_7	phnM//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	fbaA//
go_1900751_9	trmI//
go_1901135_4	spoT//rhaB//kdsD//ushA//trmD//ackA//
go_1901260_9	yccX//
go_1901264_6	nanK//gloC//tktA//
go_1901275_3	fucK//
go_1901281_6	umpH//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	wecC//ampD//aceB//eutD//cmoA//
go_1901652_5	
go_1901657_5	fadI//coaE//folP//
go_1901661_5	fadH//yahK//
go_1901684_8	bioH//
go_1901891_5	
go_1901998_5	cof//narY//
go_1902021_6	hpt//
go_1902022_6	mobA//ispA//
go_1902023_6	leuC//
go_1902047_6	ilvM//ispG//
go_1902201_7	
go_1902208_6	
go_1902209_7	gloA//
go_1902210_7	
go_1902270_7	adeD//
go_1902328_5	dgoD//
go_1902358_7	aroF//dhaM//ubiE//tig//
go_1902475_8	putA//ydiO//menD//aspA//rffH//cysK//rlmM//
go_1902476_9	panC//carB//
go_1902599_7	rsmB//coaA//
go_1902600_8	truD//mazG//mhpC//yfcG//bioF//yjjX//rlmE//appA//rihA//
go_1902601_8	lpxD//sdhB//
go_1902603_8	puuD//
go_1902758_6	nudC//
go_1902760_6	guaB//
go_1902767_6	rfbD//
go_1902777_6	yggF//gcvP//yjhH//pyrE//
go_1902778_5	nudG//
go_1902815_7	menH//
go_1903228_9	metE//
go_1903352_7	narV//
go_1903401_7	rluF//eptA//
go_1903424_9	rffC//
go_1903457_6	
go_1903506_8	queF//tmk//
go_1903507_9	ftnA//
go_1903658_6	
go_1903711_7	dcd//hyaC//
go_1903712_8	waaA//spoT//guaC//
go_1903714_8	pdeR//dmsC//gstA//
go_1903716_8	sodC//astB//
go_1903785_7	mltD//rhaM//rlmD//yfaU//tehB//
go_1903791_7	wzb//yihV//
go_1903810_8	epmA//sdaB//
go_1903825_6	glpC//
go_1903826_8	bglA//acpH//
go_1903830_9	aspC//mnmA//
go_1903874_10	rffT//coaD//trpE//
go_1903959_8	fumB//ugd//
go_1904659_9	clsA//
go_1904812_9	frdC//
go_1905039_7	agp//yjcS//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	gldA//
go_1990481_8	ydiO//
go_1990497_6	cadA//
go_1990507_5	
go_1990516_9	kefF//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	mrcA//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	dcd//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	araA//
