# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	trmI//
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	mhpA//
go_1900751_9	thiC//
go_1901135_4	etk//rnt//xapA//phnJ//ymdB//pyrD//
go_1901260_9	csdA//
go_1901264_6	nrdD//tyrA//dsdA//
go_1901275_3	pgpB//
go_1901281_6	speE//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	mak//recJ//carB//pyrG//fkpB//
go_1901652_5	
go_1901657_5	rsmC//ppk//nrfC//
go_1901661_5	sucB//ppx//
go_1901684_8	dkgA//
go_1901891_5	
go_1901998_5	metC//betA//
go_1902021_6	aroK//
go_1902022_6	purF//guaA//
go_1902023_6	argI//
go_1902047_6	asd//kdsD//
go_1902201_7	
go_1902208_6	
go_1902209_7	yjiA//
go_1902210_7	
go_1902270_7	argC//
go_1902328_5	mrcA//
go_1902358_7	frdC//sucD//yeaE//pldB//
go_1902475_8	fucO//prpC//dapD//cobS//cmk//adeD//fkpB//
go_1902476_9	glpA//dhaL//
go_1902599_7	aroK//ubiC//
go_1902600_8	ttdA//gshB//narG//ndh//uxaC//acnA//hisI//bioF//adeD//
go_1902601_8	rlmI//hemB//
go_1902603_8	asd//
go_1902758_6	entD//
go_1902760_6	rnb//
go_1902767_6	malY//
go_1902777_6	hemG//rph//acpH//ldtE//
go_1902778_5	tag//
go_1902815_7	sthA//
go_1903228_9	maeA//
go_1903352_7	rhaD//
go_1903401_7	lldD//coaE//
go_1903424_9	ulaE//
go_1903457_6	
go_1903506_8	glpA//rlmJ//
go_1903507_9	dxr//
go_1903658_6	
go_1903711_7	ybcF//katE//
go_1903712_8	metH//trpD//allC//
go_1903714_8	waaC//pgpA//pgaB//
go_1903716_8	torC//speG//
go_1903785_7	cobS//rffT//cysS//dosP//pabC//
go_1903791_7	hemC//glyA//
go_1903810_8	pdxH//yccX//
go_1903825_6	trpB//
go_1903826_8	epd//alaA//
go_1903830_9	tdcE//fabH//
go_1903874_10	nadB//yeiG//ahpC//
go_1903959_8	phnI//maeA//
go_1904659_9	fabB//
go_1904812_9	rsmJ//
go_1905039_7	rlmG//lpxB//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	adiA//
go_1990481_8	rhaA//
go_1990497_6	proS//
go_1990507_5	
go_1990516_9	dhaM//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	murC//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	yidA//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	ulaE//
