# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	rbsK//
go_1900190_5	rlmH//
go_1900191_6	
go_1900192_6	
go_1900231_6	ppk//
go_1900232_7	
go_1900233_7	ilvD//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	sgbU//
go_1900751_9	trpS//
go_1901135_4	aldB//gutQ//rlmG//lgoD//pepD//rffT//
go_1901260_9	yihS//
go_1901264_6	ddlB//mutH//hinT//
go_1901275_3	aldB//
go_1901281_6	glpX//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	chbG//serA//ycjU//cysD//mltB//
go_1901652_5	
go_1901657_5	dkgB//pflB//fadM//
go_1901661_5	yjhG//metB//
go_1901684_8	phr//
go_1901891_5	
go_1901998_5	rpiA//fucI//
go_1902021_6	yeaG//
go_1902022_6	xdhB//guaA//
go_1902023_6	mnmE//
go_1902047_6	rutB//ybjG//
go_1902201_7	
go_1902208_6	
go_1902209_7	tpiA//
go_1902210_7	
go_1902270_7	nagB//
go_1902328_5	dacC//
go_1902358_7	hchA//ackA//pck//mutH//
go_1902475_8	waaU//ydiF//glmU//moeB//malY//araD//cdd//
go_1902476_9	nudG//dfp//
go_1902599_7	thiD//tyrA//
go_1902600_8	menA//idi//wcaJ//ppc//glpA//sodC//ppx//rluC//cpsG//
go_1902601_8	trpE//queF//
go_1902603_8	yhdH//
go_1902758_6	yqjH//
go_1902760_6	serS//
go_1902767_6	pldB//
go_1902777_6	lysA//aroK//asnA//leuC//
go_1902778_5	acpT//
go_1902815_7	leuA//
go_1903228_9	gcvP//
go_1903352_7	trmI//
go_1903401_7	orn//rfbD//
go_1903424_9	purA//
go_1903457_6	
go_1903506_8	preT//fau//
go_1903507_9	sdaB//
go_1903658_6	
go_1903711_7	abgA//rpiB//
go_1903712_8	accB//leuB//tsaE//
go_1903714_8	sdaB//scpC//sdaB//
go_1903716_8	rsmI//chbG//
go_1903785_7	recR//alkA//eptC//phoA//nfsB//
go_1903791_7	lpxB//rutA//
go_1903810_8	hemN//pyrD//
go_1903825_6	accC//
go_1903826_8	pykA//asnS//
go_1903830_9	amyA//yidA//
go_1903874_10	dcd//aldA//sucD//
go_1903959_8	thrB//pncB//
go_1904659_9	appA//
go_1904812_9	ldtA//
go_1905039_7	clsA//gpmA//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	gltB//
go_1990481_8	alaA//
go_1990497_6	mraY//
go_1990507_5	
go_1990516_9	slyD//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	cynT//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	tadA//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	queC//
