# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	bcsA//
go_0099133_8	sucD//rsmB//kdsC//gadB//sufS//narG//ampH//dapB//waaA//pagP//rutA//rpiA//
go_0101030_8	sucC//
go_1900190_5	ilvM//
go_1900191_6	
go_1900192_6	
go_1900231_6	recJ//
go_1900232_7	
go_1900233_7	caiD//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	hcaB//
go_1900751_9	pyrB//
go_1901135_4	ilvE//miaA//tehB//mhpD//sucB//menD//
go_1901260_9	pnp//
go_1901264_6	glxR//ushA//panC//
go_1901275_3	tdh//
go_1901281_6	moeB//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	gltX//surA//purF//bioF//murD//
go_1901652_5	
go_1901657_5	lpxC//asnB//recJ//
go_1901661_5	tsaD//menF//
go_1901684_8	glgP//
go_1901891_5	
go_1901998_5	yqhD//pldB//
go_1902021_6	trpB//
go_1902022_6	aspS//xthA//
go_1902023_6	srlD//
go_1902047_6	menB//yihX//
go_1902201_7	
go_1902208_6	
go_1902209_7	sdhD//
go_1902210_7	
go_1902270_7	tsaE//
go_1902328_5	gpmM//
go_1902358_7	pyrC//lysC//gadB//pinE//
go_1902475_8	hcaB//paaH//mnmG//acpT//miaB//cdh//ldtB//
go_1902476_9	rlmF//yjjG//
go_1902599_7	ydfG//alsE//
go_1902600_8	srlD//dcm//accA//speG//fadH//puuC//yihS//ileS//murC//
go_1902601_8	entD//ulaE//
go_1902603_8	der//
go_1902758_6	rsmE//
go_1902760_6	leuC//
go_1902767_6	yqhD//
go_1902777_6	lpxL//menC//ugd//uxaB//
go_1902778_5	chbF//
go_1902815_7	ampD//
go_1903228_9	cysI//
go_1903352_7	ulaG//
go_1903401_7	hyaC//sgbE//
go_1903424_9	rffM//
go_1903457_6	
go_1903506_8	hemH//murB//
go_1903507_9	rbsK//
go_1903658_6	
go_1903711_7	hemC//xdhB//
go_1903712_8	hyaB//curA//aspA//
go_1903714_8	rsuA//paaG//mug//
go_1903716_8	folC//mraY//
go_1903785_7	purB//bioA//pdeL//rbn//uxaB//
go_1903791_7	lpxK//glnE//
go_1903810_8	folX//gloB//
go_1903825_6	ghrB//
go_1903826_8	udp//waaB//
go_1903830_9	sgbU//lysC//
go_1903874_10	narY//ubiI//fumC//
go_1903959_8	deoA//yciV//
go_1904659_9	murQ//
go_1904812_9	glpB//
go_1905039_7	ppiA//puuC//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	mutS//
go_1990481_8	ghrB//
go_1990497_6	ldcC//
go_1990507_5	
go_1990516_9	recG//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	clsA//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	bioA//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	asnS//
