# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	dhaL//
go_1900192_6	
go_1900231_6	mak//
go_1900232_7	
go_1900233_7	gatZ//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	lpcA//
go_1900751_9	ldtD//
go_1901135_4	patZ//dgkA//nadE//metC//dapB//proA//
go_1901260_9	rlmH//
go_1901264_6	acnB//sdhB//paaK//
go_1901275_3	pykF//
go_1901281_6	rlmE//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	fucO//purB//frc//panB//spoT//
go_1901652_5	
go_1901657_5	pgpC//uxuB//argH//
go_1901661_5	ispG//ulaF//
go_1901684_8	clsA//
go_1901891_5	
go_1901998_5	malQ//gltX//
go_1902021_6	sdhC//
go_1902022_6	ulaG//thrB//
go_1902023_6	tadA//
go_1902047_6	rffM//lpxC//
go_1902201_7	
go_1902208_6	
go_1902209_7	murE//
go_1902210_7	
go_1902270_7	fabG//
go_1902328_5	hisG//
go_1902358_7	accA//fadE//tyrB//ribF//
go_1902475_8	ychF//purB//metG//pabA//mocA//eno//speF//
go_1902476_9	panB//leuB//
go_1902599_7	gmk//ulaE//
go_1902600_8	glpC//kdsD//cpsB//pta//accC//miaA//aceA//dgt//phnI//
go_1902601_8	epd//trmJ//
go_1902603_8	waaO//
go_1902758_6	coaE//
go_1902760_6	deoD//
go_1902767_6	rluB//
go_1902777_6	puuB//ycjU//ldhA//pheS//
go_1902778_5	dcyD//
go_1902815_7	dcm//
go_1903228_9	phnL//
go_1903352_7	speA//
go_1903401_7	thiH//plsC//
go_1903424_9	rnd//
go_1903457_6	
go_1903506_8	sucA//tmk//
go_1903507_9	fadD//
go_1903658_6	
go_1903711_7	ychF//yqaB//
go_1903712_8	frc//dfp//fucI//
go_1903714_8	dfp//umuC//clsC//
go_1903716_8	abgB//yhdH//
go_1903785_7	recF//yigL//bioB//etk//ybjI//
go_1903791_7	mug//pfkA//
go_1903810_8	ilvB//waaL//
go_1903825_6	treC//
go_1903826_8	dmsC//mltB//
go_1903830_9	rimK//fucA//
go_1903874_10	sgbE//uxuB//phnO//
go_1903959_8	nirD//gatY//
go_1904659_9	rlmH//
go_1904812_9	hisS//
go_1905039_7	rsgA//deoC//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	ispB//
go_1990481_8	pgm//
go_1990497_6	gudD//
go_1990507_5	
go_1990516_9	pheA//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	bglA//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	glxR//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	miaB//
