# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	dgoK//
go_1900233_7	ygjK//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	trpC//
go_1900751_9	yieH//
go_1901135_4	nrfC//deoB//bacA//fdhF//bioH//narZ//
go_1901260_9	rnd//
go_1901264_6	kduI//gudD//rph//
go_1901275_3	murI//
go_1901281_6	lysC//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	murQ//fumC//gabD//rfaE//betB//
go_1901652_5	
go_1901657_5	cysS//hisS//lacZ//
go_1901661_5	hisH//mmuM//
go_1901684_8	gudD//
go_1901891_5	
go_1901998_5	dcm//rdgB//
go_1902021_6	mhpB//
go_1902022_6	paaB//argE//
go_1902023_6	mtlD//
go_1902047_6	bfr//folA//
go_1902201_7	
go_1902208_6	
go_1902209_7	umuC//
go_1902210_7	
go_1902270_7	dinB//
go_1902328_5	rhaM//
go_1902358_7	ddlA//uxaB//bglB//ppsA//
go_1902475_8	cysE//accC//cobB//oxc//fumB//pyrE//narZ//
go_1902476_9	glmM//argI//
go_1902599_7	ftsI//rfaD//
go_1902600_8	trmH//abgA//lpxT//murA//mutY//mhpC//pncB//gmd//glxR//
go_1902601_8	puuC//leuD//
go_1902603_8	mutL//
go_1902758_6	yihU//
go_1902760_6	ddlA//
go_1902767_6	pyrG//
go_1902777_6	gabT//dgkA//cfa//rluF//
go_1902778_5	fbaA//
go_1902815_7	oxc//
go_1903228_9	ilvA//
go_1903352_7	purC//
go_1903401_7	hemL//panD//
go_1903424_9	mltC//
go_1903457_6	
go_1903506_8	plsB//dgcZ//
go_1903507_9	ilvM//
go_1903658_6	
go_1903711_7	torZ//pykA//
go_1903712_8	gcvT//katE//mltA//
go_1903714_8	hisF//pck//epd//
go_1903716_8	lpcA//gcvH//
go_1903785_7	tesB//hemE//trmH//araD//pdxJ//
go_1903791_7	fadJ//patA//
go_1903810_8	sgbE//rsmD//
go_1903825_6	asnA//
go_1903826_8	chbF//plsB//
go_1903830_9	udp//mhpB//
go_1903874_10	torC//rnpA//tsaD//
go_1903959_8	paaB//gmk//
go_1904659_9	ldcA//
go_1904812_9	apaH//
go_1905039_7	alsE//lpcA//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	mngB//
go_1990481_8	argH//
go_1990497_6	katE//
go_1990507_5	
go_1990516_9	tdcG//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	oxc//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	katE//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	hyaA//
