# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	cpdA//
go_1900191_6	
go_1900192_6	
go_1900231_6	clsA//
go_1900232_7	
go_1900233_7	folC//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	iaaA//
go_1900751_9	rluC//
go_1901135_4	folD//glgC//trmJ//trmD//ldtD//nadC//
go_1901260_9	glgA//
go_1901264_6	garK//plsB//rsgA//
go_1901275_3	ilvB//
go_1901281_6	ndk//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	gdhA//bioF//atoB//bioF//ruvA//
go_1901652_5	
go_1901657_5	yggF//insI-2//tdh//
go_1901661_5	frmA//ynfF//
go_1901684_8	phnI//
go_1901891_5	
go_1901998_5	cpdA//dnaE//
go_1902021_6	glnE//
go_1902022_6	gcvH//dgoK//
go_1902023_6	ubiA//
go_1902047_6	ubiF//gnd//
go_1902201_7	
go_1902208_6	
go_1902209_7	icd//
go_1902210_7	
go_1902270_7	cysH//
go_1902328_5	uxaB//
go_1902358_7	hisI//tig//proB//fadA//
go_1902475_8	entC//pgpC//rlmE//folP//ghrB//hcaC//mnmE//
go_1902476_9	aroH//dhaL//
go_1902599_7	accC//dgcT//
go_1902600_8	dfp//yeiG//mdh//ilvH//queG//rsmI//tmcA//trmI//fumA//
go_1902601_8	gcvT//hemA//
go_1902603_8	pdxK//
go_1902758_6	menA//
go_1902760_6	pheS//
go_1902767_6	tdcE//
go_1902777_6	dadA//arnB//fau//abgA//
go_1902778_5	astB//
go_1902815_7	yggF//
go_1903228_9	mltC//
go_1903352_7	thiI//
go_1903401_7	ybjI//abgA//
go_1903424_9	carA//
go_1903457_6	
go_1903506_8	pabB//nemA//
go_1903507_9	entE//
go_1903658_6	
go_1903711_7	gpt//hyaA//
go_1903712_8	caiB//ribB//murA//
go_1903714_8	proB//alsK//dgcZ//
go_1903716_8	idi//ligB//
go_1903785_7	yfcF//sucC//def//glcE//yagE//
go_1903791_7	waaQ//hemE//
go_1903810_8	rsmJ//avtA//
go_1903825_6	tdcG//
go_1903826_8	yggF//preT//
go_1903830_9	yfeX//rlmH//
go_1903874_10	rpiB//oxc//speG//
go_1903959_8	ribE//murI//
go_1904659_9	aceA//
go_1904812_9	tilS//
go_1905039_7	deoB//gmd//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	ribC//
go_1990481_8	trmH//
go_1990497_6	ilvA//
go_1990507_5	
go_1990516_9	tktA//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	menC//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	ispH//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	truC//
