# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	cueO//
go_1900231_6	def//
go_1900232_7	
go_1900233_7	hisB//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	ubiH//
go_1900751_9	plsC//
go_1901135_4	rdgB//accC//ddlB//menA//narH//yjcS//
go_1901260_9	pgl//
go_1901264_6	trmA//dhaK//garL//
go_1901275_3	paaA//
go_1901281_6	yeiG//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	gmd//luxS//rlmA//dcyD//oxc//
go_1901652_5	
go_1901657_5	nagA//dgkA//lipA//
go_1901661_5	dld//proS//
go_1901684_8	thrS//
go_1901891_5	
go_1901998_5	dgkA//gdhA//
go_1902021_6	moaD//
go_1902022_6	argK//rpe//
go_1902023_6	fau//
go_1902047_6	tdcE//metF//
go_1902201_7	
go_1902208_6	
go_1902209_7	ruvB//
go_1902210_7	
go_1902270_7	gshB//
go_1902328_5	rsmE//
go_1902358_7	sdhD//lpxC//ybhA//recG//
go_1902475_8	pyrH//ydfG//bioC//surA//pyrH//thiC//rdgB//
go_1902476_9	sthA//gdhA//
go_1902599_7	pta//ruvB//
go_1902600_8	pabA//uxaB//frmA//aspA//paaK//malS//tsaB//phr//paaA//
go_1902601_8	truC//lpxT//
go_1902603_8	argA//
go_1902758_6	hypF//
go_1902760_6	umpH//
go_1902767_6	lpxL//
go_1902777_6	pldB//xapA//yihS//murB//
go_1902778_5	lsrK//
go_1902815_7	rsgA//
go_1903228_9	yjcS//
go_1903352_7	recG//
go_1903401_7	uvrC//nagA//
go_1903424_9	wecC//
go_1903457_6	
go_1903506_8	purD//cfa//
go_1903507_9	rlmC//
go_1903658_6	
go_1903711_7	fabD//frc//
go_1903712_8	cpdA//ndh//ruvC//
go_1903714_8	adhE//leuS//rluE//
go_1903716_8	glmS//tsaB//
go_1903785_7	glk//tsaB//prmC//cyaA//lpxM//
go_1903791_7	mobA//pdeR//
go_1903810_8	umuC//gshB//
go_1903825_6	upp//
go_1903826_8	galE//gpp//
go_1903830_9	hisH//speG//
go_1903874_10	nagB//nadC//tdcG//
go_1903959_8	truD//nrfB//
go_1904659_9	glk//
go_1904812_9	pyrH//
go_1905039_7	pdeF//dhaL//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	rbsD//
go_1990481_8	pgsA//
go_1990497_6	sgbH//
go_1990507_5	
go_1990516_9	torZ//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	adhE//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	gstA//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	clsC//
