# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	yigB//
go_1900190_5	dhaM//
go_1900191_6	
go_1900192_6	
go_1900231_6	ycjU//
go_1900232_7	
go_1900233_7	ydfG//
go_1900372_9	
go_1900376_6	
go_1900378_7	
go_1900705_8	
go_1900727_8	dcd//
go_1900751_9	glnE//
go_1901135_4	argG//purT//yegS//panD//mrdA//ushA//
go_1901260_9	hcp//
go_1901264_6	aroC//luxS//entF//
go_1901275_3	lpd//
go_1901281_6	kdgK//
go_1901367_6	
go_1901422_5	
go_1901530_5	
go_1901562_5	
go_1901575_4	
go_1901642_6	ndk//otsB//rlmI//lpd//serS//
go_1901652_5	
go_1901657_5	mug//fadH//leuB//
go_1901661_5	otsB//ispG//
go_1901684_8	iscS//
go_1901891_5	
go_1901998_5	ybjG//pyrD//
go_1902021_6	waaB//
go_1902022_6	rsmB//yegS//
go_1902023_6	caiD//
go_1902047_6	tdcG//rsmD//
go_1902201_7	
go_1902208_6	
go_1902209_7	speB//
go_1902210_7	
go_1902270_7	gnd//
go_1902328_5	aes//
go_1902358_7	mhpB//phnN//proB//ribC//
go_1902475_8	gstA//thrB//asnB//recG//ppiA//mak//aldA//
go_1902476_9	ilvH//aceB//
go_1902599_7	ppx//cobU//
go_1902600_8	coaA//ppsA//tdcG//fabG//ydiB//yidA//cysI//dapF//galE//
go_1902601_8	hisC//curA//
go_1902603_8	hyaB//
go_1902758_6	clsB//
go_1902760_6	yieF//
go_1902767_6	tmk//
go_1902777_6	yjcS//yihS//atoB//phnJ//
go_1902778_5	serA//
go_1902815_7	entC//
go_1903228_9	accA//
go_1903352_7	glnS//
go_1903401_7	dacC//tdcE//
go_1903424_9	trmO//
go_1903457_6	
go_1903506_8	dxs//rluF//
go_1903507_9	deoC//
go_1903658_6	
go_1903711_7	cysM//fabI//
go_1903712_8	paaB//gph//ybiV//
go_1903714_8	nemA//mrcA//pyrB//
go_1903716_8	rluA//mutT//
go_1903785_7	ldtB//ansB//deoA//umpH//pcm//
go_1903791_7	kdsC//speA//
go_1903810_8	dam//dnaQ//
go_1903825_6	nrdF//
go_1903826_8	araA//selA//
go_1903830_9	guaB//psd//
go_1903874_10	pheT//narV//bglX//
go_1903959_8	ldtA//citG//
go_1904659_9	chbG//
go_1904812_9	araB//
go_1905039_7	pncB//dnaQ//
go_1990000_5	
go_1990145_6	
go_1990169_5	
go_1990451_5	pabB//
go_1990481_8	lpcA//
go_1990497_6	ymdB//
go_1990507_5	
go_1990516_9	mpaA//
go_2000104_9	
go_2000142_6	
go_2000143_7	
go_2000144_7	
go_2000145_5	entF//
go_2000186_10	
go_2000245_6	
go_2000372_7	
go_2000678_7	
go_2000766_9	
go_2000892_7	lpxM//
go_2001023_5	
go_2001125_10	
go_2001251_8	
go_2001315_6	moeB//
